ID Place of Birth,Place of Birth,ID Age,Age,ID Year,Year,Birthplace,Birthplace Moe,Geography,ID Geography,Slug Geography,nativity,share,,,,,,
3,"Native; Born Outside The United States,Born In State of Residence,Born In Other State In The United States",30,75 Years & Over,6051,2017,4449,560,"Kings County, CA",05000US06031,kings-county-ca,Native Born,0.0296238589,,0-17,18-44,45-64,65-74,>=75
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",3,5 to 17 Years,6051,2017,27948,1060,"Kings County, CA",05000US06031,kings-county-ca,Native Born,0.1860929666,,0.2740856155,0.4169246852,0.214338507,0.0548264451,0.0398247471
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",6,18 to 24 Years,6051,2017,15286,940,"Kings County, CA",05000US06031,kings-county-ca,Native Born,0.101782492,,,,,,
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",9,25 to 34 Years,6051,2017,19606,1093,"Kings County, CA",05000US06031,kings-county-ca,Native Born,0.1305473988,,18-19,,,,
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",12,35 to 44 Years,6051,2017,14475,997,"Kings County, CA",05000US06031,kings-county-ca,Native Born,0.0963824135,,0.0380225014,,,,
3,"Born In State of Residence,Native; Born Outside The United States,Born In Other State In The United States",15,45 to 54 Years,6051,2017,12544,843,"Kings County, CA",05000US06031,kings-county-ca,Native Born,0.0835247665,,,,,,
3,"Born In State of Residence,Native; Born Outside The United States,Born In Other State In The United States",18,55 to 59 Years,6051,2017,5375,652,"Kings County, CA",05000US06031,kings-county-ca,Native Born,0.0357896699,,0-19,19-44,,,
3,"Born In State of Residence,Native; Born Outside The United States,Born In Other State In The United States",21,60 & 61 Years,6051,2017,2391,463,"Kings County, CA",05000US06031,kings-county-ca,Native Born,0.0159205769,,0.312108117,0.3789021838,0.214338507,0.0548264451,0.0398247471
3,"Born In State of Residence,Native; Born Outside The United States,Born In Other State In The United States",24,62 to 64 Years,6051,2017,2292,455,"Kings County, CA",05000US06031,kings-county-ca,Native Born,0.0152613811,,,,,,
3,"Born In State of Residence,Native; Born Outside The United States,Born In Other State In The United States",27,65 to 74 Years,6051,2017,6343,649,"Kings County, CA",05000US06031,kings-county-ca,Native Born,0.0422351398,,,,,,
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",0,Under 5 Years,6051,2017,11715,460,"Kings County, CA",05000US06031,kings-county-ca,Native Born,0.0780048341,,,,,,
3,Foreign Born,10,75 Years & Over,2017,2017,1532,207,"Kings County, CA",05000US06031,kings-county-ca,Foreign Born,0.0102008882,,,,,,
3,Foreign Born,9,65 to 74 Years,2017,2017,1891,220,"Kings County, CA",05000US06031,kings-county-ca,Foreign Born,0.0125913053,,,,,,
3,Foreign Born,8,62 to 64 Years,2017,2017,962,196,"Kings County, CA",05000US06031,kings-county-ca,Foreign Born,0.0064055186,,,,,,
3,Foreign Born,7,60 & 61 Years,2017,2017,709,181,"Kings County, CA",05000US06031,kings-county-ca,Foreign Born,0.0047209072,,,,,,
3,Foreign Born,6,55 to 59 Years,2017,2017,2133,259,"Kings County, CA",05000US06031,kings-county-ca,Foreign Born,0.0142026727,,,,,,
3,Foreign Born,5,45 to 54 Years,2017,2017,5784,386,"Kings County, CA",05000US06031,kings-county-ca,Foreign Born,0.0385130141,,,,,,
3,Foreign Born,4,35 to 44 Years,2017,2017,6107,419,"Kings County, CA",05000US06031,kings-county-ca,Foreign Born,0.0406637236,,,,,,
3,Foreign Born,3,25 to 34 Years,2017,2017,5296,500,"Kings County, CA",05000US06031,kings-county-ca,Foreign Born,0.035263645,,,,,,
3,Foreign Born,2,18 to 24 Years,2017,2017,1845,266,"Kings County, CA",05000US06031,kings-county-ca,Foreign Born,0.0122850123,,,,,,
3,Foreign Born,1,5 to 17 Years,2017,2017,1414,345,"Kings County, CA",05000US06031,kings-county-ca,Foreign Born,0.0094151801,,,,,,
3,Foreign Born,0,Under 5 Years,2017,2017,86,66,"Kings County, CA",05000US06031,kings-county-ca,Foreign Born,0.0005726347,,,,,,
3,"Born In State of Residence,Native; Born Outside The United States,Born In Other State In The United States",15,45 to 54 Years,6048,2016,12963,882,"Kings County, CA",05000US06031,kings-county-ca,Native Born,0.0862698904,,,,,,
3,"Native; Born Outside The United States,Born In State of Residence,Born In Other State In The United States",30,75 Years & Over,6048,2016,4388,492,"Kings County, CA",05000US06031,kings-county-ca,Native Born,0.0292025209,,,,,,
3,"Born In Other State In The United States,Born In State of Residence,Native; Born Outside The United States",0,Under 5 Years,6048,2016,11853,531,"Kings County, CA",05000US06031,kings-county-ca,Native Born,0.078882744,,,,,,
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",3,5 to 17 Years,6048,2016,27976,1097,"Kings County, CA",05000US06031,kings-county-ca,Native Born,0.1861827088,,,,,,
3,"Native; Born Outside The United States,Born In State of Residence,Born In Other State In The United States",27,65 to 74 Years,6048,2016,5967,545,"Kings County, CA",05000US06031,kings-county-ca,Native Born,0.039710903,,,,,,
3,"Born In State of Residence,Native; Born Outside The United States,Born In Other State In The United States",18,55 to 59 Years,6048,2016,5616,670,"Kings County, CA",05000US06031,kings-county-ca,Native Born,0.0373749676,,,,,,
3,"Native; Born Outside The United States,Born In State of Residence,Born In Other State In The United States",24,62 to 64 Years,6048,2016,2232,419,"Kings County, CA",05000US06031,kings-county-ca,Native Born,0.0148541538,,,,,,
3,"Born In Other State In The United States,Native; Born Outside The United States,Born In State of Residence",6,18 to 24 Years,6048,2016,15175,951,"Kings County, CA",05000US06031,kings-county-ca,Native Born,0.1009909424,,,,,,
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",9,25 to 34 Years,6048,2016,19731,1058,"Kings County, CA",05000US06031,kings-county-ca,Native Born,0.131311518,,,,,,
3,"Native; Born Outside The United States,Born In State of Residence,Born In Other State In The United States",21,60 & 61 Years,6048,2016,2347,442,"Kings County, CA",05000US06031,kings-county-ca,Native Born,0.0156194888,,,,,,
3,"Born In Other State In The United States,Native; Born Outside The United States,Born In State of Residence",12,35 to 44 Years,6048,2016,14393,971,"Kings County, CA",05000US06031,kings-county-ca,Native Born,0.0957866645,,,,,,
3,Foreign Born,9,65 to 74 Years,2016,2016,1925,188,"Kings County, CA",05000US06031,kings-county-ca,Foreign Born,0.0128110421,,,,,,
3,Foreign Born,4,35 to 44 Years,2016,2016,6254,412,"Kings County, CA",05000US06031,kings-county-ca,Foreign Born,0.0416209129,,,,,,
3,Foreign Born,7,60 & 61 Years,2016,2016,606,170,"Kings County, CA",05000US06031,kings-county-ca,Foreign Born,0.0040329826,,,,,,
3,Foreign Born,3,25 to 34 Years,2016,2016,5276,533,"Kings County, CA",05000US06031,kings-county-ca,Foreign Born,0.035112238,,,,,,
3,Foreign Born,10,75 Years & Over,2016,2016,1351,194,"Kings County, CA",05000US06031,kings-county-ca,Foreign Born,0.0089910223,,,,,,
3,Foreign Born,2,18 to 24 Years,2016,2016,1932,326,"Kings County, CA",05000US06031,kings-county-ca,Foreign Born,0.0128576277,,,,,,
3,Foreign Born,6,55 to 59 Years,2016,2016,2167,319,"Kings County, CA",05000US06031,kings-county-ca,Foreign Born,0.0144215731,,,,,,
3,Foreign Born,1,5 to 17 Years,2016,2016,1401,349,"Kings County, CA",05000US06031,kings-county-ca,Foreign Born,0.0093237766,,,,,,
3,Foreign Born,8,62 to 64 Years,2016,2016,779,173,"Kings County, CA",05000US06031,kings-county-ca,Foreign Born,0.0051843126,,,,,,
3,Foreign Born,0,Under 5 Years,2016,2016,101,68,"Kings County, CA",05000US06031,kings-county-ca,Foreign Born,0.0006721638,,,,,,
3,Foreign Born,5,45 to 54 Years,2016,2016,5828,389,"Kings County, CA",05000US06031,kings-county-ca,Foreign Born,0.038785846,,,,,,
3,"Born In Other State In The United States,Born In State of Residence,Native; Born Outside The United States",0,Under 5 Years,6045,2015,12065,500,"Kings County, CA",05000US06031,kings-county-ca,Native Born,0.0799017206,,,,,,
3,"Born In Other State In The United States,Native; Born Outside The United States,Born In State of Residence",30,75 Years & Over,6045,2015,4373,515,"Kings County, CA",05000US06031,kings-county-ca,Native Born,0.0289606485,,,,,,
3,"Native; Born Outside The United States,Born In Other State In The United States,Born In State of Residence",3,5 to 17 Years,6045,2015,27899,1033,"Kings County, CA",05000US06031,kings-county-ca,Native Born,0.1847640366,,,,,,
3,"Born In Other State In The United States,Native; Born Outside The United States,Born In State of Residence",27,65 to 74 Years,6045,2015,5917,474,"Kings County, CA",05000US06031,kings-county-ca,Native Born,0.0391859495,,,,,,
