ID Place of Birth,Place of Birth,ID Age,Age,ID Year,Year,Birthplace,Birthplace Moe,Geography,ID Geography,Slug Geography,nativity,share,,,,,,,
3,"Born In State of Residence,Native; Born Outside The United States,Born In Other State In The United States",24,62 to 64 Years,6054,2018,133150,9723,"New York, NY",16000US3651000,new-york-ny,Native Born,0.0158535534,,0-17,18-44,45-64,65-74,>=75,
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",0,Under 5 Years,6054,2018,518597,7832,"New York, NY",16000US3651000,new-york-ny,Native Born,0.0617469413,,0.2070851513,0.3998128054,0.2448085119,0.0833381356,0.0649553957,
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",3,5 to 17 Years,6054,2018,1090200,17643,"New York, NY",16000US3651000,new-york-ny,Native Born,0.1298050614,,,,,,,
3,"Born In State of Residence,Native; Born Outside The United States,Born In Other State In The United States",6,18 to 24 Years,6054,2018,545630,16412,"New York, NY",16000US3651000,new-york-ny,Native Born,0.0649656354,,18-19,,,,,1
3,"Born In State of Residence,Native; Born Outside The United States,Born In Other State In The United States",9,25 to 34 Years,6054,2018,979162,28080,"New York, NY",16000US3651000,new-york-ny,Native Born,0.1165842814,,0.0282084504,,,,,
3,"Born In State of Residence,Native; Born Outside The United States,Born In Other State In The United States",12,35 to 44 Years,6054,2018,579292,18522,"New York, NY",16000US3651000,new-york-ny,Native Born,0.0689736137,,,,,,,
3,"Born In State of Residence,Native; Born Outside The United States,Born In Other State In The United States",15,45 to 54 Years,6054,2018,482570,18567,"New York, NY",16000US3651000,new-york-ny,Native Born,0.0574573734,,0-19,19-44,,,,
3,"Born In State of Residence,Native; Born Outside The United States,Born In Other State In The United States",18,55 to 59 Years,6054,2018,240013,11862,"New York, NY",16000US3651000,new-york-ny,Native Born,0.0285772356,,0.2352936017,0.371604355,0.2448085119,0.0833381356,0.0649553957,
3,"Native; Born Outside The United States,Born In State of Residence,Born In Other State In The United States",30,75 Years & Over,6054,2018,289976,13888,"New York, NY",16000US3651000,new-york-ny,Native Born,0.0345260984,,,,,,,
3,"Born In State of Residence,Native; Born Outside The United States,Born In Other State In The United States",21,60 & 61 Years,6054,2018,95722,9276,"New York, NY",16000US3651000,new-york-ny,Native Born,0.0113971749,,,,,,,
3,"Native; Born Outside The United States,Born In State of Residence,Born In Other State In The United States",27,65 to 74 Years,6054,2018,351350,14260,"New York, NY",16000US3651000,new-york-ny,Native Born,0.0418336162,,,,,,,
3,Foreign Born,10,75 Years & Over,2018,2018,255568,7385,"New York, NY",16000US3651000,new-york-ny,Foreign Born,0.0304292973,,,,,,,
3,Foreign Born,8,62 to 64 Years,2018,2018,145033,5174,"New York, NY",16000US3651000,new-york-ny,Foreign Born,0.0172684071,,,,,,,
3,Foreign Born,7,60 & 61 Years,2018,2018,108911,4907,"New York, NY",16000US3651000,new-york-ny,Foreign Born,0.012967528,,,,,,,
3,Foreign Born,6,55 to 59 Years,2018,2018,277382,7995,"New York, NY",16000US3651000,new-york-ny,Foreign Born,0.0330265892,,,,,,,
3,Foreign Born,5,45 to 54 Years,2018,2018,573304,9614,"New York, NY",16000US3651000,new-york-ny,Foreign Born,0.0682606503,,,,,,,
3,Foreign Born,4,35 to 44 Years,2018,2018,567856,9113,"New York, NY",16000US3651000,new-york-ny,Foreign Born,0.0676119822,,,,,,,
3,Foreign Born,3,25 to 34 Years,2018,2018,520870,11625,"New York, NY",16000US3651000,new-york-ny,Foreign Born,0.0620175769,,,,,,,
3,Foreign Born,2,18 to 24 Years,2018,2018,165117,6734,"New York, NY",16000US3651000,new-york-ny,Foreign Born,0.0196597159,,,,,,,
3,Foreign Born,1,5 to 17 Years,2018,2018,113988,6460,"New York, NY",16000US3651000,new-york-ny,Foreign Born,0.0135720229,,,,,,,
3,Foreign Born,0,Under 5 Years,2018,2018,16471,2457,"New York, NY",16000US3651000,new-york-ny,Foreign Born,0.0019611256,,,,,,,
3,Foreign Born,9,65 to 74 Years,2018,2018,348586,6796,"New York, NY",16000US3651000,new-york-ny,Foreign Born,0.0415045195,,,,,,,
3,Foreign Born,7,60 & 61 Years,2017,2017,111545,6731,"New York, NY",16000US3651000,new-york-ny,Foreign Born,0.0129362063,,,,,,,
3,Foreign Born,3,25 to 34 Years,2017,2017,539099,10709,"New York, NY",16000US3651000,new-york-ny,Foreign Born,0.0625209186,,,,,,,
3,Foreign Born,2,18 to 24 Years,2017,2017,174372,7615,"New York, NY",16000US3651000,new-york-ny,Foreign Born,0.0202224408,,,,,,,
3,Foreign Born,8,62 to 64 Years,2017,2017,146595,6235,"New York, NY",16000US3651000,new-york-ny,Foreign Born,0.0170010593,,,,,,,
3,Foreign Born,6,55 to 59 Years,2017,2017,275202,7524,"New York, NY",16000US3651000,new-york-ny,Foreign Born,0.0319159966,,,,,,,
3,Foreign Born,1,5 to 17 Years,2017,2017,126855,7825,"New York, NY",16000US3651000,new-york-ny,Foreign Born,0.0147117526,,,,,,,
3,Foreign Born,5,45 to 54 Years,2017,2017,596514,8808,"New York, NY",16000US3651000,new-york-ny,Foreign Born,0.0691795074,,,,,,,
3,Foreign Born,0,Under 5 Years,2017,2017,17445,2690,"New York, NY",16000US3651000,new-york-ny,Foreign Born,0.0020231487,,,,,,,
3,Foreign Born,10,75 Years & Over,2017,2017,258816,6741,"New York, NY",16000US3651000,new-york-ny,Foreign Born,0.0300156633,,,,,,,
3,Foreign Born,9,65 to 74 Years,2017,2017,350687,7026,"New York, NY",16000US3651000,new-york-ny,Foreign Born,0.0406702171,,,,,,,
3,Foreign Born,4,35 to 44 Years,2017,2017,597810,11904,"New York, NY",16000US3651000,new-york-ny,Foreign Born,0.0693298084,,,,,,,
3,"Native; Born Outside The United States,Born In Other State In The United States,Born In State of Residence",24,62 to 64 Years,6051,2017,131303,9560,"New York, NY",16000US3651000,new-york-ny,Native Born,0.0152276005,,,,,,,
3,"Born In State of Residence,Native; Born Outside The United States,Born In Other State In The United States",12,35 to 44 Years,6051,2017,581768,21120,"New York, NY",16000US3651000,new-york-ny,Native Born,0.0674693698,,,,,,,
3,"Native; Born Outside The United States,Born In State of Residence,Born In Other State In The United States",21,60 & 61 Years,6051,2017,101301,9507,"New York, NY",16000US3651000,new-york-ny,Native Born,0.0117481791,,,,,,,
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",27,65 to 74 Years,6051,2017,343835,12946,"New York, NY",16000US3651000,new-york-ny,Native Born,0.0398755703,,,,,,,
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",0,Under 5 Years,6051,2017,535131,8936,"New York, NY",16000US3651000,new-york-ny,Native Born,0.0620607378,,,,,,,
3,"Native; Born Outside The United States,Born In State of Residence,Born In Other State In The United States",18,55 to 59 Years,6051,2017,243479,13965,"New York, NY",16000US3651000,new-york-ny,Native Born,0.0282369857,,,,,,,
3,"Born In State of Residence,Native; Born Outside The United States,Born In Other State In The United States",6,18 to 24 Years,6051,2017,582476,17554,"New York, NY",16000US3651000,new-york-ny,Native Born,0.0675514787,,,,,,,
3,"Born In State of Residence,Native; Born Outside The United States,Born In Other State In The United States",30,75 Years & Over,6051,2017,282291,14353,"New York, NY",16000US3651000,new-york-ny,Native Born,0.0327381291,,,,,,,
3,"Native; Born Outside The United States,Born In State of Residence,Born In Other State In The United States",15,45 to 54 Years,6051,2017,503650,18387,"New York, NY",16000US3651000,new-york-ny,Native Born,0.0584097924,,,,,,,
3,"Native; Born Outside The United States,Born In State of Residence,Born In Other State In The United States",9,25 to 34 Years,6051,2017,1012886,26618,"New York, NY",16000US3651000,new-york-ny,Native Born,0.1174674099,,,,,,,
3,"Born In Other State In The United States,Born In State of Residence,Native; Born Outside The United States",3,5 to 17 Years,6051,2017,1109638,19516,"New York, NY",16000US3651000,new-york-ny,Native Born,0.1286880278,,,,,,,
3,"Born In Other State In The United States,Born In State of Residence,Native; Born Outside The United States",18,55 to 59 Years,6048,2016,238537,13082,"New York, NY",16000US3651000,new-york-ny,Native Born,0.027939346,,,,,,,
3,"Born In Other State In The United States,Born In State of Residence,Native; Born Outside The United States",21,60 & 61 Years,6048,2016,95984,7498,"New York, NY",16000US3651000,new-york-ny,Native Born,0.0112424076,,,,,,,
3,"Born In Other State In The United States,Born In State of Residence,Native; Born Outside The United States",15,45 to 54 Years,6048,2016,514827,17842,"New York, NY",16000US3651000,new-york-ny,Native Born,0.0603006229,,,,,,,
